CNPJ,SiglaVendedor,PrecoVenda,UnidadePreco,UF,InicioSuprimento,AnoLeilao
00.357.038/0001-16,ELETRONORTE,212.11,R$/MWh,-,2023-01-01,2021
00.622.416/0001-41,STATKRAFT,146.61,R$/MWh,BA,2026-01-01,2021
07.674.341/0001-91,UTE Uberaba 2,296.55,R$/MWh,MG,2026-01-01,2021
07.912.062/0001-19,LAGUNA,256.0,R$/MWh,MS,2025-01-01,2021
07.966.116/0001-29,ALBIOMA,216.97,R$/MWh,GO,2025-01-01,2021
08.147.388/0001-60,CACH 5 VEADOS A4,243.73,R$/MWh,RS,2024-01-01,2021
08.147.432/0001-31,RINCAO S MIGUEL A4,241.91,R$/MWh,RS,2024-01-01,2021
08.323.274/0001-23,COPREL,241.16,R$/MWh,RS,2024-01-01,2021
08.364.948/0001-38,ALUPAR,222.71,R$/MWh,-,2022-01-01,2021
09.495.582/0001-07,SAFIRA COM,222.71,R$/MWh,-,2022-01-01,2021
10.202.852/0001-15,KROMA,211.98,R$/MWh,-,2023-01-01,2021
12.630.054/0001-10,MAXIMA ENERGIA,212.0,R$/MWh,-,2023-01-01,2021
13.145.928/0001-06,BRASIL COM,221.65,R$/MWh,-,2022-01-01,2021
14.143.405/0001-93,CHM,228.19,R$/MWh,RS,2025-01-01,2021
14.641.895/0001-58,URE BARUERI,596.73,R$/MWh,SP,2026-01-01,2021
14.676.561/0001-10,VSR 2,158.569375,R$/MWh,RN,2024-01-01,2021
15.116.321/0001-23,SÃO ROQUE ENERGÉTICA,119.3,R$/MWh,SC,2026-01-01,2021
15.312.198/0001-16,SOLAR TECNOLOGIA,132.75,R$/MWh,PE,2024-01-01,2021
15.328.709/0001-98,VSA 2,166.57666666666668,R$/MWh,BA,2025-01-01,2021
15.673.834/0001-35,VSL 3,157.977,R$/MWh,BA,2024-01-01,2021
19.125.927/0001-86,COPEL COM,218.26,R$/MWh,-,2022-01-01,2021
20.003.699/0002-31,FS AGRISOLUTIONS,296.55,R$/MWh,MT,2026-01-01,2021
26.537.119/0001-91,VIVAZ ENERGIA,212.09,R$/MWh,-,2023-01-01,2021
27.059.624/0001-30,LINHA 11 OESTE,228.19,R$/MWh,RS,2025-01-01,2021
27.171.295/0001-15,UTE CDL,298.81,R$/MWh,SP,2026-01-01,2021
28.228.040/0001-04,EÓLICA SERRA DAS VACAS,192.97,R$/MWh,PE,2026-01-01,2021
28.507.748/0001-02,MIRANTE DO OESTE 1,173.1442857142857,R$/MWh,RN,2024-01-01,2021
29.166.267/0001-35,BJA A5/21,182.49,R$/MWh,CE,2026-01-01,2021
32.849.284/0001-81,ELAWAN,165.63,R$/MWh,RN,2024-01-01,2021
33.000.167/0001-01,PETROBRAS PIE,179.9,R$/MWh,SP,2025-01-01,2021
35.658.058/0001-01,Panorama,180.65125,R$/MWh,SP,2026-01-01,2021
37.978.223/0001-38,Triângulo,287.86,R$/MWh,MG,2026-01-01,2021
38.505.151/0001-74,CVW,285.88,R$/MWh,AL,2026-01-01,2021
39.401.496/0001-40,CSI RDSF,180.825,R$/MWh,PI,2026-01-01,2021
39.916.142/0001-39,UHE JURUENA,229.92,R$/MWh,MT,2025-01-01,2021
40.586.619/0001-44,SANTA LUZIA VII,147.07,R$/MWh,PB,2024-01-01,2021
40.586.767/0001-69,SANTA LUZIA IX,149.34,R$/MWh,PB,2025-01-01,2021
40.790.472/0001-00,SANTA LUZIA V,140.93,R$/MWh,PB,2024-01-01,2021
52.189.420/0001-61,Raízen Paraguaçu,296.57,R$/MWh,SP,2026-01-01,2021
55.109.565/0001-01,UBZ,217.09,R$/MWh,SP,2025-01-01,2021
60.855.574/0004-16,ZILOR,196.02,R$/MWh,SP,2024-01-01,2021
61.082.962/0001-21,MELHORAMENTOS NP,192.48,R$/MWh,PR,2024-01-01,2021
